<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBRX.US,5,20240510,182000,7.855,7.91,7.825,7.88,38400,0
IBRX.US,5,20240510,182500,7.875,7.9001,7.87,7.8775,16586,0
IBRX.US,5,20240510,183000,7.8717,7.91,7.8502,7.895,24419,0
IBRX.US,5,20240510,183500,7.905,7.92,7.885,7.915,14598,0
IBRX.US,5,20240510,184000,7.91,7.91,7.88,7.905,16609,0
IBRX.US,5,20240510,184500,7.9058,7.92,7.87,7.915,26580,0
IBRX.US,5,20240510,185000,7.915,7.99,7.915,7.96,39125,0
IBRX.US,5,20240510,185500,7.96,7.99,7.94,7.9668,21868,0
IBRX.US,5,20240510,190000,7.97,7.97,7.935,7.945,10908,0
IBRX.US,5,20240510,190500,7.94,8.005,7.935,7.96,19513,0
IBRX.US,5,20240510,191000,7.95,7.96,7.885,7.89,68947,0
IBRX.US,5,20240510,191500,7.89,7.94,7.89,7.9312,20068,0
IBRX.US,5,20240510,192000,7.9317,7.9754,7.92,7.9701,9869,0
IBRX.US,5,20240510,192500,7.98,8.03,7.9614,8.02,9720,0
IBRX.US,5,20240510,193000,8.0194,8.065,8,8.055,28955,0
IBRX.US,5,20240510,193500,8.055,8.12,8.05,8.0602,18742,0
